SA_CensusM,Age_75,Children_9,residents
N00002912,25,38,345
N00002921,21,31,309
N00002922,33,65,468
N00002924,19,31,386
N00002925,20,43,311
N00002928,20,51,358
N00002929,46,101,727
N00002932,34,38,393
N00002950,24,33,396
N00002952,18,36,326
N00002954,35,64,639
N00002955,22,62,438
N00002967,16,26,277
N00002969,38,22,218
N00002970,46,27,281
N00002971,18,39,365
N00002972,11,37,287
N00002979,16,48,408
N00002983,11,40,320
N00003003,88,185,1353
N00003004,19,15,262
N00003005,37,60,482
N00003007,19,81,493
N00003013,23,41,408
N00003016,18,30,303
N00003017,31,40,381
N00003039,22,32,314
N00003040,45,23,432
N00003041,14,79,437
N00003042,13,25,254
N00003043,11,34,203
N00003044,39,41,356
N00003045,25,99,785
N00003046,13,43,336
N00003053,28,19,231
N00003054,31,32,320
N00003055,20,56,369
N00003056,17,31,337
N00003057,13,38,276
N00003058,16,51,322
N00003059,12,38,315
N00003060,47,20,274
